,@AD#,@BO#,@BP#,@C#,@CC#,@CD#,@CT#,@ES#,@EU#,@FV#,@GF#,@HE#,@JY#,@KC#,@KW#,@LE#,@NIY#,@NKD#,@NQ#,@RTY#,@S#,@SB#,@SF#,@SM#,@TU#,@TY#,@US#,@VX#,@W#,@YM#,BD#,BL#,BX#,CRD#,EB#,EX#,EZ#,IHO#,IRB#,QBZ#,QC#,QCL#,QGC#,QHG#,QHO#,QNG#,QPL#,QRB#,QSI#,QW#
2008-11-07 00:01:00,0.6704,34.66,1.5685,384.75,1930.0,0.8367,43.15,918.25,1.2734,115.64843700000002,99.3,55.45,0.010253,115.75,568.0,93.35,8690.0,8760.0,1259.5,501.0,917.0,12.02,0.8511,266.5,108.109375,115.421875,116.984375,57.21,527.25,8817.0,117.57,113.29,93.6,61.45,57.99,2524.0,106.21,19779.0,13329.0,57.44,1266.0,61.41,734.8,1.7575,1.959,6.943,842.0,1.345,10.145,330.1
2008-11-07 00:02:00,0.668,34.66,1.5685,384.75,1930.0,0.8367,43.15,918.75,1.2739,115.640625,99.3,55.45,0.010242,115.75,568.0,93.35,8690.0,8760.0,1260.0,501.0,917.0,12.02,0.8511,266.5,108.109375,115.40625,116.984375,57.21,527.25,8822.0,117.57,113.29,93.6,61.45,57.99,2524.0,106.21,19779.0,13329.0,57.44,1266.0,61.41,734.5,1.7575,1.959,6.943,842.0,1.345,10.145,330.1
2008-11-07 00:03:00,0.67,34.66,1.5685,384.75,1930.0,0.8367,43.15,918.75,1.2737,115.640625,99.3,55.45,0.01025,115.75,568.0,93.35,8690.0,8760.0,1260.0,501.0,917.0,12.02,0.8511,266.5,108.109375,115.40625,117.0,57.21,527.25,8821.0,117.57,113.29,93.6,61.45,57.99,2524.0,106.21,19779.0,13329.0,57.44,1266.0,61.45,735.2,1.7575,1.959,6.943,842.0,1.345,10.15,330.1
2008-11-07 00:04:00,0.6696,34.66,1.5685,384.75,1930.0,0.8367,43.15,918.5,1.2742,115.640625,99.3,55.45,0.010242,115.75,568.0,93.35,8690.0,8760.0,1260.0,501.0,917.0,12.02,0.8512,266.5,108.109375,115.40625,117.0,57.21,527.25,8820.0,117.57,113.29,93.6,61.45,57.99,2524.0,106.21,19779.0,13329.0,57.44,1266.0,61.48,735.1,1.757,1.959,6.943,842.0,1.345,10.15,330.1
2008-11-07 00:05:00,0.6696,34.66,1.5667,384.75,1930.0,0.8367,43.15,918.5,1.2737,115.640625,99.3,55.45,0.010248,115.75,568.0,93.35,8690.0,8760.0,1260.0,501.0,917.0,12.02,0.8505,266.5,108.109375,115.421875,117.0,57.21,527.25,8817.0,117.57,113.29,93.6,61.45,57.99,2524.0,106.21,19779.0,13329.0,57.44,1266.0,61.49,735.0,1.7625,1.959,6.943,842.0,1.345,10.155,330.1
2008-11-07 00:06:00,0.6696,34.66,1.5667,385.0,1930.0,0.8376,43.15,918.5,1.2737,115.640625,99.3,55.45,0.010249,115.75,568.0,93.35,8690.0,8760.0,1259.0,501.0,917.0,12.02,0.8505,266.5,108.10156200000002,115.40625,116.984375,57.21,526.75,8817.0,117.57,113.29,93.6,61.45,57.99,2524.0,106.21,19779.0,13329.0,57.44,1266.0,61.5,735.2,1.7625,1.959,6.943,842.0,1.345,10.155,330.1
2008-11-07 00:07:00,0.6696,34.66,1.5667,385.0,1930.0,0.8376,43.15,918.25,1.2734,115.65625,99.3,55.45,0.010254000000000001,115.75,568.0,93.35,8690.0,8760.0,1259.0,501.0,917.0,12.02,0.8505,266.5,108.10156200000002,115.4375,116.984375,57.21,526.75,8817.0,117.57,113.29,93.6,61.45,57.99,2524.0,106.21,19779.0,13329.0,57.44,1266.0,61.49,735.3,1.7625,1.959,6.943,842.0,1.345,10.15,330.1
2008-11-07 00:08:00,0.6696,34.66,1.5667,385.0,1930.0,0.8363,43.15,918.25,1.2731,115.65625,99.3,55.45,0.01026,115.75,568.0,93.35,8690.0,8760.0,1259.5,501.0,917.0,12.02,0.8505,266.5,108.10156200000002,115.4375,117.0,57.21,526.75,8815.0,117.57,113.29,93.6,61.45,57.99,2524.0,106.21,19779.0,13329.0,57.44,1266.0,61.52,735.2,1.7645,1.959,6.943,842.0,1.345,10.15,330.1
2008-11-07 00:09:00,0.6696,34.66,1.5667,384.75,1930.0,0.8363,43.15,918.0,1.2729,115.65625,99.3,55.45,0.010255,115.75,568.0,93.35,8690.0,8760.0,1259.75,501.0,917.0,12.02,0.8507,266.5,108.10156200000002,115.46875,117.0,57.21,526.75,8817.0,117.57,113.29,93.6,61.45,57.99,2524.0,106.21,19779.0,13329.0,57.44,1266.0,61.5,735.5,1.759,1.959,6.943,842.0,1.345,10.155,330.1
2008-11-07 00:10:00,0.6696,34.66,1.5667,384.75,1930.0,0.8363,43.15,918.0,1.2733,115.65625,99.3,55.45,0.010261,115.75,568.0,93.35,8690.0,8760.0,1258.25,501.0,917.5,12.02,0.8507,266.5,108.10156200000002,115.421875,117.0,57.21,526.75,8816.0,117.57,113.29,93.6,61.45,57.99,2524.0,106.21,19779.0,13329.0,57.44,1266.0,61.46,735.4,1.759,1.959,6.943,842.0,1.345,10.155,330.1
2008-11-07 00:11:00,0.67,34.66,1.566,385.0,1930.0,0.8363,43.15,918.25,1.2726,115.66406200000002,99.3,55.45,0.010263,115.75,568.0,93.35,8690.0,8760.0,1259.0,501.0,917.5,12.02,0.8507,266.5,108.10156200000002,115.484375,117.0,57.21,526.75,8816.0,117.57,113.29,93.6,61.45,57.99,2524.0,106.21,19779.0,13329.0,57.44,1266.0,61.47,735.8,1.762,1.959,6.943,842.0,1.345,10.16,330.1
2008-11-07 00:12:00,0.67,34.66,1.566,385.0,1930.0,0.8363,43.15,918.25,1.2722,115.67968700000002,99.3,55.45,0.010261,115.75,568.0,93.35,8690.0,8760.0,1258.5,501.0,918.0,12.02,0.8507,266.5,108.10156200000002,115.484375,117.03125,57.21,526.75,8814.0,117.57,113.29,93.6,61.45,57.99,2524.0,106.21,19779.0,13329.0,57.44,1266.0,61.49,735.4,1.7645,1.959,6.916,842.0,1.345,10.155,330.1
2008-11-07 00:13:00,0.67,34.66,1.566,385.0,1930.0,0.8363,43.15,916.75,1.2718,115.67968700000002,99.3,55.45,0.010263,115.75,568.0,93.35,8690.0,8760.0,1256.0,501.0,917.75,12.02,0.8504,266.5,108.10156200000002,115.5,117.03125,57.21,527.25,8803.0,117.57,113.29,93.6,61.45,57.99,2524.0,106.21,19779.0,13329.0,57.44,1266.0,61.51,735.0,1.7655,1.959,6.942,842.0,1.345,10.14,330.1
2008-11-07 00:14:00,0.6695,34.66,1.565,385.0,1930.0,0.8363,43.15,916.75,1.2714,115.67968700000002,99.3,55.45,0.010268000000000001,115.75,568.0,93.35,8690.0,8760.0,1256.0,501.0,917.75,12.02,0.8504,266.5,108.11718700000002,115.5,117.03125,57.21,527.25,8796.0,117.57,113.29,93.6,61.45,57.99,2524.0,106.21,19779.0,13329.0,57.44,1266.0,61.48,734.5,1.7645,1.959,6.942,842.0,1.345,10.145,330.1
2008-11-07 00:15:00,0.669,34.66,1.5623,385.0,1930.0,0.8363,43.15,916.5,1.27,115.67968700000002,99.3,55.45,0.010274,115.75,568.0,93.35,8690.0,8760.0,1256.75,501.0,918.0,12.02,0.8497,266.5,108.11718700000002,115.5,117.0625,57.21,527.25,8800.0,117.57,113.29,93.6,61.45,57.99,2524.0,106.21,19779.0,13329.0,57.44,1266.0,61.41,734.1,1.764,1.959,6.942,842.0,1.345,10.145,330.1
2008-11-07 00:16:00,0.669,34.66,1.5623,385.25,1930.0,0.834,43.15,916.5,1.2706,115.703125,99.3,55.45,0.01027,115.75,568.0,93.35,8690.0,8760.0,1256.75,501.0,918.0,12.02,0.85,266.5,108.125,115.5,117.0625,57.21,527.25,8798.0,117.57,113.29,93.6,61.45,57.99,2524.0,106.21,19779.0,13329.0,57.44,1266.0,61.31,734.4,1.7625,1.959,6.94,842.0,1.345,10.145,330.1
2008-11-07 00:17:00,0.669,34.66,1.564,385.5,1930.0,0.834,43.15,916.75,1.271,115.71093700000002,99.3,55.45,0.010274,115.75,568.0,93.35,8690.0,8760.0,1255.5,501.0,918.0,12.02,0.8503,266.5,108.125,115.515625,117.125,57.21,527.25,8798.0,117.57,113.29,93.6,61.45,57.99,2524.0,106.21,19779.0,13329.0,57.44,1266.0,61.42,734.8,1.7575,1.959,6.94,842.0,1.345,10.15,330.1
2008-11-07 00:18:00,0.6687,34.68,1.564,385.5,1930.0,0.834,43.15,916.5,1.2704,115.734375,99.3,55.45,0.01027,115.75,568.0,93.35,8690.0,8760.0,1255.5,501.0,918.0,12.02,0.8503,266.5,108.125,115.5625,117.15625,57.21,527.25,8798.0,117.57,113.29,93.6,61.45,57.99,2524.0,106.21,19779.0,13329.0,57.44,1266.0,61.42,735.4,1.7575,1.959,6.939,842.0,1.345,10.155,330.1
2008-11-07 00:19:00,0.668,34.68,1.564,385.5,1930.0,0.8344,43.15,916.5,1.2702,115.72656200000002,99.3,55.45,0.01027,115.75,568.0,93.35,8690.0,8760.0,1255.5,501.0,918.0,12.02,0.8504,266.5,108.125,115.5625,117.15625,57.21,527.25,8797.0,117.57,113.29,93.6,61.45,57.99,2524.0,106.21,19779.0,13329.0,57.44,1266.0,61.34,736.3,1.758,1.959,6.939,842.0,1.345,10.14,330.1
2008-11-07 00:20:00,0.668,34.68,1.5639,385.5,1930.0,0.8344,43.15,916.5,1.2702,115.72656200000002,99.3,55.45,0.010279,115.75,568.0,93.35,8690.0,8760.0,1255.5,501.0,918.0,12.02,0.8507,266.5,108.140625,115.5625,117.171875,57.21,527.75,8792.0,117.57,113.29,93.6,61.45,57.99,2524.0,106.21,19779.0,13329.0,57.44,1266.0,61.3,736.0,1.758,1.959,6.939,842.0,1.345,10.14,330.1
2008-11-07 00:21:00,0.6672,34.68,1.564,385.25,1930.0,0.834,43.15,916.0,1.2704,115.74218700000002,99.3,55.45,0.010283,115.75,568.0,93.35,8690.0,8760.0,1255.25,501.0,918.0,12.02,0.8507,266.5,108.140625,115.578125,117.1875,57.21,527.75,8794.0,117.57,113.29,93.6,61.45,57.74,2524.0,106.21,19779.0,13329.0,57.44,1266.0,61.25,735.7,1.758,1.959,6.939,842.0,1.345,10.14,330.1
2008-11-07 00:22:00,0.6671,34.68,1.5635,385.25,1930.0,0.8341,43.15,916.25,1.27,115.75,99.3,55.45,0.010281,115.75,568.0,93.35,8690.0,8760.0,1256.5,501.0,917.5,12.02,0.8507,266.5,108.140625,115.609375,117.1875,57.21,527.75,8794.0,117.57,113.29,93.6,61.14,57.74,2524.0,106.21,19779.0,13329.0,57.44,1266.0,61.23,735.0,1.758,1.959,6.939,842.0,1.345,10.14,330.1
2008-11-07 00:23:00,0.6671,34.68,1.5628,385.25,1930.0,0.8325,43.15,915.75,1.2701,115.75,99.3,55.45,0.010283,115.75,568.0,93.35,8690.0,8760.0,1256.5,501.0,917.0,12.02,0.8507,266.5,108.140625,115.609375,117.25,57.21,527.5,8794.0,117.57,113.29,93.6,61.14,57.74,2524.0,106.21,19779.0,13329.0,57.44,1266.0,61.14,735.0,1.759,1.959,6.939,842.0,1.345,10.14,330.1
2008-11-07 00:24:00,0.6671,34.68,1.5628,385.0,1930.0,0.8348,43.15,915.25,1.2704,115.734375,99.3,55.45,0.010287000000000001,115.75,568.0,93.35,8690.0,8760.0,1256.5,501.0,916.25,12.02,0.8505,266.5,108.140625,115.59375,117.25,57.21,527.0,8786.0,117.57,113.29,93.6,61.14,57.74,2524.0,106.21,19779.0,13329.0,57.44,1266.0,61.08,735.5,1.756,1.959,6.939,842.0,1.345,10.14,330.1
2008-11-07 00:25:00,0.6671,34.68,1.5628,385.0,1930.0,0.8348,43.15,914.5,1.2702,115.734375,99.3,55.45,0.010289,115.75,568.0,93.35,8690.0,8760.0,1254.75,501.0,916.25,12.02,0.8505,266.5,108.140625,115.59375,117.25,57.21,527.0,8780.0,117.57,113.29,93.6,61.14,57.74,2524.0,106.21,19779.0,13329.0,57.44,1266.0,61.08,735.4,1.756,1.959,6.939,842.0,1.345,10.14,330.1
2008-11-07 00:26:00,0.6675,34.66,1.562,385.0,1930.0,0.8348,43.15,915.0,1.27,115.734375,99.3,55.45,0.010292,115.75,568.0,93.35,8690.0,8760.0,1254.5,501.0,917.25,12.02,0.8502,266.5,108.140625,115.578125,117.1875,57.21,527.0,8782.0,117.57,113.29,93.6,61.14,57.74,2524.0,106.21,19779.0,13329.0,57.44,1266.0,61.13,735.4,1.755,1.959,6.939,842.0,1.345,10.135,330.1
2008-11-07 00:27:00,0.6671,34.66,1.5624,385.0,1930.0,0.8325,43.15,915.0,1.2701,115.74218700000002,99.3,55.45,0.010292,115.75,568.0,93.35,8690.0,8760.0,1254.5,501.0,918.5,12.02,0.8511,266.5,108.140625,115.578125,117.1875,57.21,527.0,8783.0,117.57,113.29,93.6,61.14,57.74,2524.0,106.21,19779.0,13329.0,57.44,1266.0,61.19,735.1,1.758,1.959,6.939,842.0,1.345,10.13,330.1
2008-11-07 00:28:00,0.667,34.66,1.5624,385.0,1930.0,0.833,43.15,915.75,1.2704,115.74218700000002,99.3,55.45,0.010284,115.75,568.0,93.35,8690.0,8760.0,1256.0,501.0,918.5,12.02,0.8505,266.5,108.140625,115.578125,117.1875,57.21,527.25,8791.0,117.57,113.29,93.6,61.14,57.74,2524.0,106.21,19779.0,13329.0,57.44,1266.0,61.18,734.5,1.758,1.959,6.939,842.0,1.345,10.13,330.1
2008-11-07 00:29:00,0.667,34.66,1.5624,385.0,1930.0,0.8332,43.15,916.0,1.2702,115.74218700000002,99.3,55.45,0.010284,115.75,567.75,93.35,8690.0,8760.0,1256.0,501.0,918.5,12.02,0.8505,266.5,108.140625,115.578125,117.1875,57.21,527.75,8790.0,117.57,113.29,93.6,61.14,57.74,2524.0,106.21,19779.0,13329.0,57.44,1266.0,61.19,734.7,1.758,1.959,6.939,842.0,1.345,10.13,330.1
2008-11-07 00:30:00,0.6684,34.66,1.5624,385.0,1930.0,0.8343,43.15,917.0,1.2709,115.74218700000002,99.3,55.45,0.010278,115.75,567.75,93.35,8690.0,8760.0,1256.75,501.0,918.5,12.02,0.8505,266.5,108.140625,115.609375,117.21875,57.21,527.75,8795.0,117.57,113.29,93.6,61.14,57.72,2524.0,106.21,19779.0,13329.0,57.44,1266.0,61.19,735.0,1.7595,1.959,6.939,842.0,1.345,10.125,330.1
2008-11-07 00:31:00,0.6685,34.66,1.5624,384.75,1930.0,0.8341,43.15,918.0,1.2713,115.74218700000002,99.3,55.45,0.010279,115.75,567.5,93.35,8690.0,8760.0,1257.5,501.0,918.5,12.02,0.8505,266.5,108.13281200000002,115.59375,117.21875,57.21,527.5,8805.0,117.57,113.29,93.6,61.14,57.65,2524.0,106.21,19779.0,13329.0,57.44,1266.0,61.14,735.6,1.7605,1.959,6.939,842.0,1.345,10.125,330.1
2008-11-07 00:32:00,0.6692,34.66,1.5624,384.75,1930.0,0.8341,43.15,917.25,1.2721,115.74218700000002,99.3,55.45,0.010270999999999999,115.75,567.5,93.35,8690.0,8760.0,1258.5,501.0,918.5,12.02,0.8505,266.5,108.13281200000002,115.59375,117.21875,57.21,527.5,8800.0,117.57,113.29,93.6,61.14,57.65,2524.0,106.21,19779.0,13329.0,57.44,1266.0,61.18,735.6,1.76,1.959,6.939,842.0,1.345,10.125,330.1
2008-11-07 00:33:00,0.6696,34.66,1.5639,384.75,1930.0,0.8341,43.15,917.0,1.2724,115.74218700000002,99.3,55.45,0.010267,115.75,567.5,93.35,8690.0,8760.0,1258.5,501.0,917.25,12.02,0.8505,266.5,108.13281200000002,115.59375,117.203125,57.21,527.0,8802.0,117.57,113.29,93.6,61.19,57.7,2524.0,106.21,19779.0,13329.0,57.44,1266.0,61.19,735.5,1.756,1.959,6.939,842.0,1.345,10.14,330.1
2008-11-07 00:34:00,0.6694,34.66,1.5639,384.75,1930.0,0.8332,43.15,917.5,1.2714,115.74218700000002,99.3,55.45,0.010268000000000001,115.75,567.5,93.35,8690.0,8760.0,1258.5,501.0,917.25,12.02,0.8505,266.5,108.13281200000002,115.59375,117.1875,57.21,527.0,8808.0,117.57,113.29,93.6,61.19,57.72,2524.0,106.21,19779.0,13329.0,57.44,1266.0,61.11,735.8,1.756,1.959,6.939,842.0,1.345,10.14,330.1
2008-11-07 00:35:00,0.6694,34.66,1.5639,384.75,1930.0,0.8338,43.15,917.75,1.2711,115.74218700000002,99.3,55.45,0.010267,115.75,567.5,93.35,8690.0,8760.0,1258.0,501.0,917.25,12.02,0.8505,266.5,108.13281200000002,115.59375,117.171875,57.21,527.0,8807.0,117.57,113.29,93.6,61.04,57.56,2524.0,106.21,19779.0,13329.0,57.44,1266.0,61.05,735.2,1.756,1.959,6.939,842.0,1.345,10.14,330.1
2008-11-07 00:36:00,0.6689,34.66,1.5645,384.75,1930.0,0.8338,43.15,917.5,1.2704,115.74218700000002,99.3,55.45,0.01027,115.75,567.5,93.35,8690.0,8760.0,1257.25,501.0,917.25,12.02,0.8505,266.5,108.13281200000002,115.609375,117.171875,57.21,527.0,8807.0,117.57,113.29,93.6,61.04,57.56,2524.0,106.21,19779.0,13329.0,57.44,1266.0,61.09,734.9,1.754,1.959,6.939,842.0,1.345,10.125,330.1
2008-11-07 00:37:00,0.6687,34.58,1.5645,384.75,1930.0,0.8337,43.15,917.25,1.2705,115.74218700000002,99.3,55.45,0.010267,115.75,567.5,93.35,8690.0,8760.0,1257.25,501.0,917.25,12.02,0.8505,266.5,108.13281200000002,115.609375,117.171875,57.21,527.0,8807.0,117.57,113.29,93.6,61.04,57.6,2524.0,106.21,19779.0,13329.0,57.44,1266.0,61.09,734.9,1.753,1.959,6.939,842.0,1.345,10.125,330.1
2008-11-07 00:38:00,0.6691,34.58,1.5645,384.75,1930.0,0.8341,43.15,917.0,1.2702,115.74218700000002,99.3,55.45,0.010275,115.75,567.25,93.35,8690.0,8760.0,1257.75,501.0,916.75,12.02,0.8505,266.5,108.13281200000002,115.578125,117.171875,57.21,527.25,8802.0,117.57,113.29,93.6,61.04,57.6,2524.0,106.21,19779.0,13329.0,57.44,1266.0,61.09,735.4,1.752,1.959,6.939,842.0,1.345,10.115,330.1
2008-11-07 00:39:00,0.6691,34.58,1.5645,384.75,1930.0,0.8341,43.15,917.0,1.2705,115.74218700000002,99.3,55.45,0.010275,115.75,567.25,93.35,8690.0,8760.0,1257.75,501.0,916.25,12.02,0.8505,266.5,108.13281200000002,115.53125,117.140625,57.21,526.75,8798.0,117.57,113.29,93.6,61.04,57.6,2524.0,106.21,19779.0,13329.0,57.44,1266.0,61.06,734.8,1.752,1.959,6.939,842.0,1.345,10.115,330.1
2008-11-07 00:40:00,0.6691,34.58,1.5645,384.75,1930.0,0.8341,43.15,916.75,1.2705,115.6875,99.3,55.45,0.010274,115.75,567.25,93.35,8690.0,8760.0,1256.0,501.0,916.5,12.02,0.8505,266.5,108.13281200000002,115.515625,117.140625,57.21,526.75,8798.0,117.57,113.29,93.6,61.0,57.59,2524.0,106.21,19779.0,13329.0,57.44,1266.0,61.05,734.8,1.7525,1.959,6.939,842.0,1.345,10.115,330.1
2008-11-07 00:41:00,0.6691,34.58,1.5642,384.75,1930.0,0.8339,43.15,916.5,1.2705,115.6875,99.3,55.45,0.010276,115.75,567.25,93.35,8690.0,8760.0,1255.25,501.0,916.0,12.02,0.8505,266.5,108.13281200000002,115.515625,117.125,57.21,526.75,8788.0,117.57,113.29,93.6,60.65,57.26,2524.0,106.21,19779.0,13329.0,57.44,1266.0,60.8,735.2,1.7495,1.959,6.939,842.0,1.345,10.115,330.1
2008-11-07 00:42:00,0.6691,34.58,1.5642,384.75,1930.0,0.8339,43.15,916.75,1.2707,115.6875,99.3,55.45,0.010278,115.75,567.25,93.35,8690.0,8760.0,1256.5,501.0,916.0,12.02,0.8505,266.5,108.13281200000002,115.515625,117.109375,57.21,527.25,8797.0,117.57,113.29,93.6,60.65,57.26,2524.0,106.21,19779.0,13329.0,57.44,1266.0,60.88,735.2,1.7495,1.959,6.939,842.0,1.345,10.115,330.1
2008-11-07 00:43:00,0.6691,34.7,1.5642,384.75,1930.0,0.834,43.15,916.75,1.2707,115.6875,99.3,55.45,0.010278,115.75,567.25,93.35,8690.0,8760.0,1256.25,501.0,919.75,12.02,0.8505,266.9,108.13281200000002,115.515625,117.109375,57.21,527.5,8802.0,117.57,113.29,93.6,60.65,57.26,2524.0,106.21,19779.0,13329.0,57.44,1266.0,60.92,734.8,1.749,1.959,6.939,842.0,1.345,10.115,330.1
2008-11-07 00:44:00,0.6694,34.7,1.5642,384.75,1930.0,0.834,43.15,916.75,1.271,115.6875,99.3,55.45,0.010278,115.75,567.25,93.35,8690.0,8760.0,1256.25,501.0,919.75,12.02,0.8505,266.9,108.13281200000002,115.515625,117.109375,57.21,527.5,8802.0,117.57,113.29,93.6,60.65,57.26,2524.0,106.21,19779.0,13329.0,57.44,1266.0,60.93,735.0,1.749,1.959,6.939,842.0,1.345,10.115,330.1
2008-11-07 00:45:00,0.6694,34.7,1.5642,384.75,1930.0,0.8337,43.15,916.75,1.2709,115.72656200000002,99.3,55.45,0.010267,115.75,567.25,93.35,8690.0,8760.0,1257.25,501.0,919.75,12.02,0.8505,266.9,108.13281200000002,115.5,117.109375,57.21,527.5,8799.0,117.57,113.29,93.6,60.65,57.26,2524.0,106.21,19779.0,13329.0,57.44,1266.0,60.87,734.9,1.749,1.959,6.939,842.0,1.345,10.13,330.1
2008-11-07 00:46:00,0.6694,34.7,1.562,384.75,1930.0,0.8337,43.15,917.25,1.2707,115.72656200000002,99.3,55.45,0.010275,115.75,567.25,93.35,8690.0,8760.0,1257.25,501.0,919.75,12.02,0.8505,266.9,108.13281200000002,115.5,117.109375,57.21,527.5,8805.0,117.57,113.29,93.6,60.65,57.26,2524.0,106.21,19779.0,13329.0,57.44,1266.0,60.84,735.1,1.749,1.959,6.939,842.0,1.345,10.115,330.1
2008-11-07 00:47:00,0.6694,34.7,1.5615,384.75,1930.0,0.8337,43.15,918.25,1.2708,115.72656200000002,99.3,55.45,0.010269,115.75,567.25,93.35,8690.0,8760.0,1258.0,501.0,919.75,12.02,0.8505,266.9,108.13281200000002,115.5,117.109375,57.21,527.5,8817.0,117.57,113.29,93.6,60.65,57.26,2524.0,106.21,19779.0,13329.0,57.44,1266.0,60.85,735.0,1.749,1.959,6.942,842.0,1.345,10.125,330.1
2008-11-07 00:48:00,0.6694,34.7,1.5628,384.25,1930.0,0.8332,43.15,918.25,1.2709,115.69531200000002,99.3,55.45,0.010268000000000001,115.75,567.25,93.35,8690.0,8760.0,1258.5,501.0,919.75,12.02,0.8505,266.9,108.13281200000002,115.484375,117.0625,57.21,527.75,8815.0,117.57,113.29,93.6,60.65,57.4,2524.0,106.21,19779.0,13329.0,57.44,1266.0,60.98,734.2,1.749,1.959,6.944,842.0,1.345,10.125,330.1
2008-11-07 00:49:00,0.6694,34.7,1.5628,384.25,1930.0,0.8332,43.15,919.25,1.2725,115.69531200000002,99.3,55.45,0.010268000000000001,115.75,567.25,93.35,8690.0,8760.0,1259.0,501.0,919.75,12.02,0.8513,266.9,108.13281200000002,115.484375,117.0625,57.21,527.75,8821.0,117.57,113.29,93.6,60.65,57.5,2524.0,106.21,19779.0,13329.0,57.44,1266.0,61.12,733.8,1.749,1.959,6.943,842.0,1.345,10.11,330.1
2008-11-07 00:50:00,0.6697,34.7,1.5628,384.25,1930.0,0.8332,43.15,919.0,1.2723,115.69531200000002,99.3,55.45,0.010267,115.75,567.25,93.3,8690.0,8760.0,1259.0,501.0,919.75,12.02,0.8507,266.9,108.13281200000002,115.484375,117.0625,57.21,528.0,8819.0,117.57,113.29,93.6,60.65,57.5,2524.0,106.21,19779.0,13329.0,57.44,1266.0,61.03,734.7,1.749,1.959,6.943,842.0,1.345,10.115,330.1
2008-11-07 00:51:00,0.6697,34.7,1.5628,384.0,1930.0,0.8335,43.15,919.25,1.2716,115.69531200000002,99.3,55.45,0.010265999999999999,115.75,567.25,93.3,8690.0,8760.0,1259.0,501.0,919.75,12.02,0.8507,266.9,108.13281200000002,115.484375,117.0625,57.21,528.0,8819.0,117.57,113.29,93.6,60.65,57.5,2524.0,106.21,19779.0,13329.0,57.44,1266.0,61.01,734.5,1.749,1.959,6.943,842.0,1.345,10.1,330.1
2008-11-07 00:52:00,0.669,34.7,1.5628,384.0,1930.0,0.8335,43.15,919.25,1.2715,115.69531200000002,99.3,55.45,0.010265999999999999,115.75,567.25,93.3,8690.0,8760.0,1260.0,501.0,919.75,12.02,0.8507,266.9,108.13281200000002,115.5,117.0625,57.21,528.0,8816.0,117.57,113.29,93.6,60.65,57.5,2524.0,106.21,19779.0,13329.0,57.44,1266.0,61.01,734.6,1.749,1.959,6.943,842.0,1.345,10.11,330.1
2008-11-07 00:53:00,0.669,34.7,1.5628,384.0,1930.0,0.8335,43.15,918.5,1.2714,115.69531200000002,99.3,55.45,0.010269,115.75,567.25,93.3,8690.0,8760.0,1260.0,501.0,919.75,12.02,0.8507,266.9,108.13281200000002,115.5,117.0625,57.21,528.0,8816.0,117.57,113.29,93.6,60.65,57.5,2524.0,106.21,19779.0,13329.0,57.44,1266.0,61.01,734.6,1.749,1.959,6.943,842.0,1.345,10.1,330.1
2008-11-07 00:54:00,0.669,34.7,1.5628,383.75,1930.0,0.8334,43.15,918.25,1.2714,115.703125,99.3,55.45,0.01027,115.75,567.25,93.3,8690.0,8760.0,1260.0,502.1,919.75,12.02,0.8507,266.9,108.13281200000002,115.484375,117.0625,57.21,528.0,8812.0,117.57,113.29,93.6,60.65,57.5,2524.0,106.21,19779.0,13329.0,57.44,1266.0,61.11,734.6,1.749,1.959,6.943,842.0,1.345,10.105,330.1
2008-11-07 00:55:00,0.669,34.7,1.5628,383.5,1930.0,0.8335,43.15,918.0,1.2709,115.703125,99.3,55.45,0.010268000000000001,115.75,567.25,93.3,8690.0,8760.0,1259.25,501.9,918.0,12.02,0.8501,266.9,108.13281200000002,115.484375,117.0625,57.21,528.0,8811.0,117.57,113.29,93.6,60.65,57.5,2524.0,106.21,19779.0,13329.0,57.44,1266.0,61.07,734.5,1.749,1.959,6.943,842.0,1.345,10.105,330.1
2008-11-07 00:56:00,0.6685,34.7,1.5628,383.5,1930.0,0.8336,43.15,917.5,1.2712,115.703125,99.3,55.45,0.010265999999999999,115.75,567.25,93.3,8690.0,8760.0,1259.25,501.9,918.0,12.02,0.8501,266.9,108.13281200000002,115.484375,117.0625,57.21,528.0,8811.0,117.57,113.29,93.6,60.65,57.72,2524.0,106.21,19779.0,13329.0,57.44,1266.0,61.27,734.8,1.749,1.959,6.943,842.0,1.345,10.105,330.1
2008-11-07 00:57:00,0.6685,34.7,1.5628,383.5,1930.0,0.8336,43.15,917.25,1.2712,115.69531200000002,99.3,55.45,0.010273000000000001,115.75,567.25,93.3,8690.0,8760.0,1257.25,501.6,918.0,12.02,0.8501,266.9,108.13281200000002,115.484375,117.0625,57.21,528.0,8801.0,117.57,113.29,93.6,60.65,57.72,2524.0,106.21,19779.0,13329.0,57.44,1266.0,61.35,734.8,1.749,1.959,6.943,842.0,1.345,10.105,330.1
2008-11-07 00:58:00,0.6685,34.7,1.5613,383.5,1930.0,0.8338,43.15,917.0,1.271,115.69531200000002,99.3,55.45,0.010269,115.75,570.0,93.3,8690.0,8760.0,1257.25,501.6,918.0,12.02,0.8501,266.9,108.13281200000002,115.484375,117.0625,57.21,528.0,8799.0,117.57,113.29,93.6,60.65,57.72,2524.0,106.21,19779.0,13329.0,57.44,1266.0,61.31,734.7,1.749,1.959,6.943,842.0,1.345,10.105,330.1
