time,AAPL,ABBV,ABT,ACN,ADBE,ADI,ADP,AFL,AGN,AIG,AMAT,AMGN,AMT,AMZN,ANTM,ATVI,AVGO,AXP,BA,BAC,BDX,BIIB,BK,BKNG,BLK,BMY,BRK-B,BSX,C,CAT,CB,CCI,CHTR,CI,CL,CMCSA,CME,COF,COP,COST,CRM,CSCO,CSX,CTSH,CVS,CVX,D,DAL,DE,DHR,DIS,DUK,EA,ECL,EEM,EFA,EMR,EOG,EWZ,EXC,F,FB,FDX,FOXA,FXI,GD,GDX,GE,GILD,GM,GOOG,GOOGL,GOVT,GS,HAL,HD,HON,HPQ,HUM,IBM,ICE,ILMN,INTC,INTU,ISRG,ITW,JNJ,JPM,KHC,KMB,KO,KR,LLY,LMT,LOW,LULU,LYB,MA,MAR,MCD,MDLZ,MDT,MET,MMC,MMM,MO,MPC,MRK,MS,MSFT,MU,NEE,NFLX,NKE,NOC,NSC,NVDA,ORCL,OXY,PEP,PFE,PG,PGR,PM,PNC,PRU,PSX,PYPL,QCOM,QQQ,RTN,SBUX,SCHW,SHW,SLB,SO,SPG,SPGI,SPY,STZ,SYK,T,TGT,TJX,TLT,TMO,TSLA,TWTR,TXN,UNH,UNP,UPS,USB,UTX,V,VIX,VLO,VRTX,VXX,VZ,WBA,WFC,WM,WMT,X,XLE,XLF,XLI,XLK,XLP,XOM,ZTS
2020-02-07 09:31:00+00:00,321.39,89.1529,89.5029,213.2,366.855,114.52,179.34,52.685,194.6363,53.11,62.452,230.78,238.72,2038.49,281.57,60.862,317.525,132.57,339.7032,34.27,250.75,335.1558,47.2215,1954.95,550.0,66.8522,,42.81,78.16,136.18,163.2053,151.0,523.975,211.46,76.2325,44.285,213.1369,102.36,57.8819,310.05,187.086,48.64,78.59,69.48,71.2023,108.53,85.41,58.0119,167.1,163.7753,141.7,97.16,108.85,206.7667,43.5,69.18,74.501,74.6824,43.81,48.31,8.17,210.19,147.4048,37.0412,41.46,,28.5609,13.0,69.8623,34.1411,1467.3,1467.0974,26.435,237.52,21.9207,239.4,175.6332,21.6419,359.605,154.5,95.1331,300.594,67.21,292.615,581.75,184.68,153.255,136.75,28.8359,144.68,58.97,28.04,,438.93,,243.59,82.4527,327.8015,144.56,212.65,58.455,120.5725,51.5,115.86,161.39,46.42,54.9165,85.8,54.45,182.98,57.7119,269.83,364.75,99.89,364.1118,211.72,251.66,54.24,41.5913,143.83,38.37,126.99,82.8377,86.8028,152.1777,94.79,89.7465,119.5239,89.8,228.93,228.14,85.7168,47.425,581.32,33.9511,69.02,140.15,297.6296,332.58,198.83,218.29,38.46,115.02,61.582,144.35,329.68,747.77,37.7512,130.25,292.37,185.18,106.17,54.5,156.16,201.77,,82.7227,237.4677,14.4905,59.7,53.2687,47.73,124.144,116.3099,9.245,53.83,30.87,83.935,99.9893,64.12,61.27,138.8045
2020-02-07 09:32:00+00:00,322.65,90.0,89.455,212.4189,366.7453,114.84,178.85,52.695,195.23,52.96,62.7126,231.01,238.26,2045.705,281.7318,61.32,317.6786,132.57,339.81,34.39,250.8205,335.55,47.282,1955.0,550.25,66.73,228.34,42.89,78.46,136.34,163.2001,150.95,522.3918,211.995,76.2122,44.39,213.35,102.4113,57.6671,310.19,186.7678,48.755,78.72,69.69,71.26,108.6,85.461,58.19,167.47,163.85,141.5959,97.13,109.06,206.39,43.52,69.22,74.66,74.5631,43.89,48.35,8.095,210.71,147.56,36.88,41.5,185.6702,28.54,13.04,70.4365,34.1314,1471.01,1471.04,26.43,238.155,22.01,239.0001,176.17,21.7,360.2916,154.8315,94.4139,301.37,67.2,292.04,581.0,185.1195,153.11,137.07,28.96,144.83,59.03,28.16,146.595,438.92,121.65,243.78,82.4527,327.2,144.42,212.495,58.57,120.805,51.365,116.1,161.2,46.34,55.22,85.76,54.565,183.34,57.5624,269.5133,366.14,100.01,364.56,211.65,252.4256,54.42,41.6834,144.0,38.32,127.06,82.92,86.9405,151.94,94.655,89.892,119.2,89.67,229.3,227.81,85.6775,47.34,578.98,34.01,69.03,140.16,296.59,332.9,198.94,218.26,38.51,115.49,61.59,144.28,329.45,747.9313,38.0,130.29,293.09,185.115,106.24,54.6,156.175,201.54,15.7,82.8992,236.9516,14.43,59.75,53.3,47.74,124.0508,116.484,9.23,53.8248,30.89,84.03,100.12,64.15,61.195,138.67
2020-02-07 09:33:00+00:00,322.3229,89.9036,89.23,212.5238,366.75,114.845,178.85,52.81,195.1878,53.12,62.8496,231.2535,238.16,2043.85,281.415,61.25,317.3107,132.34,339.9,34.37,250.31,337.0135,47.26,1956.735,550.08,66.7827,228.02,42.865,78.44,136.06,162.7,150.59,522.25,212.11,76.03,44.49,212.9985,102.23,57.63,309.9925,187.18,48.61,78.445,69.9428,71.14,108.6,85.36,58.0927,167.3101,163.24,141.3014,97.1217,109.4144,206.2583,43.48,69.185,74.55,74.66,43.84,48.27,8.085,210.855,147.1676,36.935,41.48,185.96,28.61,13.02,70.3228,34.01,1470.2273,1469.4586,26.43,238.61,22.005,239.42,176.21,21.69,360.62,155.54,94.705,300.825,67.23,292.01,581.0,184.91,153.04,136.7,28.94,144.63,58.98,28.13,146.68,438.905,121.67,244.3618,81.875,327.33,143.88,212.15,58.5423,120.79,51.49,116.0461,161.19,46.16,55.055,85.6865,54.54,183.1777,57.56,269.69,366.19,100.085,364.3,210.895,252.54,54.48,41.62,144.01,38.28,126.955,82.9285,86.8985,152.04,94.63,89.93,119.08,89.43,229.21,228.38,85.52,47.31,578.98,34.1,69.0,139.82,297.4,332.7,198.59,218.1706,38.4825,115.3646,61.615,144.28,328.56,759.1154,38.0315,130.335,292.357,184.88,106.25,54.53,156.24,201.785,15.7,82.7001,236.538,14.4606,59.7,53.3205,47.74,123.9517,116.325,9.1902,53.82,30.89,83.94,100.09,64.09,61.24,138.57
2020-02-07 09:34:00+00:00,321.24,89.8505,89.14,212.0567,365.81,114.515,178.54,52.81,195.16,53.05,62.68,231.17,237.99,2040.16,280.63,60.7324,317.335,131.827,337.51,34.359,250.558,338.1892,47.2315,1955.0426,549.495,66.63,227.34,42.85,78.37,135.29,162.7147,150.69,522.43,212.355,76.265,44.48,213.44,102.36,57.9,309.91,186.535,48.51,78.5586,69.849,71.33,108.7422,85.4027,58.0518,167.4553,163.0525,141.19,97.0895,109.26,206.2866,43.39,69.14,74.4041,74.8974,43.735,48.3,8.0903,210.41,146.9847,36.89,41.38,186.45,28.63,13.01,70.1311,34.0061,1470.1,1469.23,26.44,238.7676,21.9907,238.54,175.75,21.67,360.755,155.0549,94.853,300.04,66.96,291.33,580.48,184.37,152.985,136.55,28.9109,144.6846,59.04,28.155,146.475,438.06,120.9338,244.32,82.04,326.56,143.32,212.12,58.59,120.58,51.5787,115.88,161.1751,46.2865,54.95,85.605,54.59,182.63,57.1042,269.31,365.13,100.16,363.85,211.16,251.9943,54.4,41.6346,144.115,38.28,127.0571,82.741,86.91,151.66,94.533,89.7629,118.83,88.94,228.73,228.0473,85.39,47.3065,578.98,34.1011,68.95,139.7544,296.385,332.25,199.26,217.74,38.505,115.06,61.45,144.44,328.6,761.114,37.6941,130.1,292.24,184.85,106.1234,54.4566,156.16,201.22,15.7,82.5276,236.555,14.5301,59.69,53.39,47.6915,124.015,116.28,9.2103,53.88,30.845,83.82,99.79,64.125,61.33,138.42
2020-02-07 09:35:00+00:00,321.0255,89.83,88.86,212.11,365.975,114.38,179.17,52.785,195.14,53.1,62.53,230.8,237.9397,2040.3101,280.47,61.19,317.54,131.75,337.67,34.29,249.925,338.4,47.19,1947.905,549.495,66.58,227.17,42.745,78.245,135.3893,162.7989,150.79,521.93,212.49,76.25,44.41,213.52,102.13,57.81,310.0002,186.9,48.3762,78.39,69.805,71.33,108.64,85.3,57.96,167.85,163.03,141.24,97.04,109.365,206.4156,43.3554,69.1,74.45,74.74,43.68,48.3,8.07,210.28,146.6135,36.92,41.36,186.16,28.63,13.0,70.38,33.91,1471.01,1468.95,26.445,238.29,21.92,238.77,175.75,21.66,361.09,154.51,94.8225,299.29,66.88,291.53,579.395,184.18,152.815,136.38,28.81,144.6,59.01,28.09,146.38,438.44,121.17,244.99,81.81,326.445,143.01,212.28,58.49,120.32,51.45,116.07,161.14,46.18,54.815,85.54,54.51,182.63,57.0525,269.84,364.72,100.105,362.74,211.5,250.86,54.42,41.6,144.015,38.24,127.07,82.81,86.98,151.42,94.28,89.6,118.815,88.79,228.66,227.7975,85.365,47.26,577.9,34.035,68.9,139.29,296.48,332.08,199.49,217.32,38.46,114.99,61.51,144.46,328.25,752.8476,37.63,129.72,292.33,184.87,105.8,54.35,156.12,201.32,15.9,82.59,234.6567,14.59,59.65,53.22,47.55,124.01,116.06,9.19,53.805,30.81,83.8,99.755,64.08,61.2,138.42
2020-02-07 09:36:00+00:00,321.23,90.15,88.9873,212.2,365.75,114.51,179.17,52.8014,195.45,53.17,62.538,231.2324,238.245,2042.25,280.0374,61.42,317.615,131.6735,339.15,34.3459,250.1466,338.78,47.2312,1958.03,550.29,66.7,227.4217,42.73,78.2021,135.4136,162.69,150.955,521.34,211.9406,76.23,44.39,213.48,102.21,57.7315,310.04,187.1249,48.29,78.56,69.7925,71.36,108.54,85.32,58.0,167.83,163.14,141.18,97.11,109.3,206.39,43.38,69.135,74.37,74.702,43.77,48.32,8.055,210.39,146.6939,36.905,41.4,186.1803,28.6308,13.0353,70.69,33.925,1470.65,1470.03,26.4451,238.6763,21.855,238.89,175.57,21.69,360.3395,154.5041,95.2775,299.365,66.95,291.65,579.915,184.6,152.7166,136.612,28.74,144.88,58.995,28.095,146.522,438.77,121.47,245.48,81.78,327.25,143.47,212.39,58.54,120.3212,51.51,116.23,161.11,46.088,54.765,85.54,54.5964,182.7304,57.03,270.02,364.5225,100.3,363.3,211.561,251.11,54.46,41.56,144.03,38.2032,127.1,82.98,87.405,151.754,94.31,89.4324,118.862,88.7961,228.78,228.0,85.42,47.2312,578.5602,33.9746,68.88,139.65,296.53,332.25,199.6453,217.42,38.441,115.15,61.675,144.42,328.33,757.37,37.4488,130.11,292.08,185.13,105.7328,54.43,156.48,201.3228,15.96,82.4575,235.46,14.5604,59.585,53.235,47.6,124.275,116.135,9.1702,53.74,30.84,83.895,99.81,64.09,61.11,138.4135
2020-02-07 09:37:00+00:00,321.1701,90.76,88.87,212.33,365.4,114.54,179.28,52.875,196.04,53.161,62.52,231.41,238.21,2041.38,279.552,61.45,317.6,131.6776,339.2584,34.433,250.2749,339.1,47.25,1950.47,551.16,66.865,227.8245,42.68,78.31,135.622,162.6,150.975,523.33,211.09,76.29,44.4582,214.2,102.305,57.7911,309.7755,186.6937,48.31,78.7,69.84,71.29,108.625,85.29,58.0311,167.66,163.19,141.2628,97.089,109.1614,206.68,43.39,69.15,74.3815,74.772,43.84,48.285,8.0587,210.86,146.935,36.99,41.41,186.23,28.63,13.035,70.625,33.92,1472.049,1470.59,26.44,238.68,21.88,238.86,175.6513,21.6804,359.517,154.395,95.1669,299.26,66.89,291.71,579.835,184.83,152.7133,136.75,28.785,144.875,58.966,28.12,146.72,439.145,121.6624,245.5068,82.05,327.26,143.4,212.49,58.6,120.51,51.55,116.17,161.3898,45.9709,54.83,85.61,54.55,182.695,57.049,269.865,364.8301,100.1352,363.79,211.75,250.89,54.45,41.5808,144.12,38.23,127.1075,83.05,87.57,152.3676,94.49,89.3718,118.82,88.65,228.82,228.5,85.57,47.35,578.75,34.0207,68.83,139.665,296.65,332.39,199.34,217.41,38.495,115.1923,61.74,144.38,328.4575,757.023,37.58,130.28,291.65,185.16,105.8471,54.52,156.76,201.55,15.9,82.56,236.3624,14.5403,59.6496,53.17,47.645,124.3,116.19,9.1602,53.77,30.88,83.97,99.78,64.11,61.1608,138.71
2020-02-07 09:38:00+00:00,321.26,90.3134,88.9533,212.34,365.6,114.81,179.06,52.95,195.7673,53.275,62.52,231.63,238.19,2044.975,279.585,61.41,317.66,132.0,339.074,34.49,249.92,339.0826,47.32,1950.05,550.9248,66.8,228.0,42.7023,78.53,135.845,163.0,150.825,523.375,211.4579,76.3459,44.55,214.56,102.795,57.95,310.105,187.097,48.39,78.78,69.9,71.395,108.89,85.325,58.19,167.87,163.21,141.24,97.17,109.25,206.54,43.45,69.19,74.43,74.955,43.89,48.36,8.0903,211.0,147.045,37.03,41.45,186.42,28.575,13.075,71.115,34.02,1472.5464,1471.3768,26.43,239.38,21.92,238.9489,175.8,21.7008,359.25,154.5058,95.24,299.57,66.92,291.23,580.415,185.09,152.64,136.87,28.86,144.92,59.02,28.18,146.72,438.75,121.6245,246.09,82.255,327.25,143.8699,212.53,58.68,120.595,51.65,116.24,161.8738,46.02,54.91,85.65,54.78,182.92,57.095,269.9415,364.925,100.0837,364.03,212.05,251.4,54.52,41.78,144.23,38.262,127.12,83.18,87.498,152.69,94.8516,89.59,118.76,88.77,229.02,228.225,85.58,47.46,578.78,34.14,68.89,139.8,296.42,332.72,199.65,217.58,38.59,115.28,61.84,144.28,328.59,753.5446,37.3612,130.36,291.88,185.17,105.8339,54.58,156.91,201.5101,15.81,82.65,235.49,14.45,59.71,53.2483,47.73,124.28,116.25,9.2,53.92,30.935,84.04,99.88,64.15,61.3203,138.525
2020-02-07 09:39:00+00:00,321.06,90.87,88.881,212.58,365.21,114.46,178.91,52.98,196.1,53.25,62.4325,231.975,238.325,2044.87,280.01,61.37,317.38,132.12,338.7144,34.55,249.68,340.0,47.32,1950.025,551.93,66.795,228.1589,42.7402,78.67,135.63,162.93,150.72,522.9,212.0,76.32,44.5672,214.56,102.8037,57.96,310.4898,187.13,48.39,78.77,69.89,71.59,108.86,85.42,58.21,167.9735,163.355,141.28,97.2407,109.055,206.58,43.45,69.19,74.34,74.8427,43.88,48.425,8.1003,211.12,146.8694,37.07,41.435,186.3063,28.57,13.0733,71.0776,34.0712,1472.33,1472.0,26.43,239.4,21.9608,239.22,175.72,21.7008,359.25,154.405,95.0934,299.57,66.78,291.7,581.43,184.98,152.47,137.06,28.825,144.88,59.025,28.215,146.9011,438.522,121.94,245.97,82.203,326.93,143.85,212.46,58.63,120.77,51.68,116.18,161.68,46.015,54.867,85.7025,54.86,183.2727,57.049,270.73,364.243,100.11,363.3,212.02,251.3107,54.59,41.82,144.39,38.31,127.07,83.06,87.6032,152.77,94.88,89.3525,118.55,88.58,229.03,228.19,85.535,47.58,578.78,34.18,68.96,139.935,296.4,332.7903,199.64,217.645,38.64,115.24,61.83,144.26,328.77,754.48,37.285,130.31,292.33,185.14,105.64,54.61,156.62,201.39,15.69,82.318,236.1585,14.44,59.77,53.33,47.77,124.19,116.295,9.2003,53.9269,30.95,83.97,99.85,64.16,61.3422,138.424
2020-02-07 09:40:00+00:00,321.2894,90.6831,88.785,212.48,364.83,114.24,178.665,52.9,195.74,53.15,62.43,231.41,238.11,2043.09,279.335,60.98,317.4,132.0,338.8031,34.53,249.45,339.22,47.265,1947.84,551.255,66.77,228.01,42.69,78.53,135.44,162.78,150.715,523.29,211.8225,76.28,44.49,214.24,102.52,57.82,310.14,187.016,48.32,78.74,69.86,71.52,108.75,85.29,58.14,167.7,163.08,140.94,97.13,109.08,206.61,43.405,69.16,74.31,74.75,43.815,48.41,8.1003,210.8527,147.03,36.86,41.415,186.14,28.57,13.0801,70.78,34.035,1473.3101,1472.27,26.4389,238.99,21.9407,239.07,175.58,21.685,359.41,154.305,94.66,298.4,66.655,291.845,582.225,184.97,152.135,136.89,28.85,144.95,58.99,28.18,146.58,438.14,121.74,246.89,82.08,326.46,143.65,212.21,58.595,120.53,51.64,116.18,161.455,46.0,54.82,85.63,54.805,183.1107,56.93,270.59,364.39,99.98,363.52,211.76,250.98,54.56,41.77,144.27,38.2286,126.97,82.9,87.47,152.46,94.74,89.329,118.56,88.56,228.86,228.01,85.45,47.46,578.91,34.0947,68.88,139.885,295.995,332.54,199.63,217.575,38.5768,115.22,61.76,144.27,328.54,753.4766,37.2912,130.12,291.85,184.85,105.62,54.56,156.71,201.44,15.67,82.4877,235.515,14.48,59.67,53.33,47.685,124.09,116.24,9.2053,53.87,30.915,83.935,99.81,64.12,61.25,138.11
2020-02-07 09:41:00+00:00,320.91,90.89,88.71,212.42,364.495,114.28,178.7462,52.89,196.0,53.155,62.45,231.73,238.09,2044.2,279.3617,60.7,317.54,132.1455,338.96,34.5314,249.445,339.56,47.28,1947.3564,551.255,66.63,228.18,42.65,78.5533,135.5257,162.93,150.66,523.37,211.1488,76.28,44.52,214.4,102.675,57.8624,309.9695,186.6814,48.322,78.88,69.88,71.57,108.7395,85.36,58.1174,167.887,162.975,140.8938,97.12,109.03,206.78,43.39,69.155,74.4031,74.76,43.76,48.44,8.0953,210.475,147.2089,36.835,41.405,186.365,28.54,13.0865,70.93,34.0814,1470.6604,1468.95,26.43,238.935,21.9809,239.06,175.695,21.6909,359.175,154.5,94.53,298.43,66.68,291.89,581.5281,184.97,152.14,136.9757,28.9282,144.98,59.006,28.1862,146.5044,438.57,121.67,246.745,82.2334,326.03,143.54,212.31,58.62,120.295,51.6022,116.06,161.63,45.9836,54.7523,85.635,54.7723,183.155,56.9,270.5,363.96,99.91,363.37,211.99,251.03,54.562,41.7917,144.2,38.2211,126.9,82.945,87.23,152.45,94.93,89.49,118.46,88.3,228.7246,227.83,85.41,47.512,577.9542,34.14,68.88,140.0,296.17,332.43,199.495,217.395,38.5825,115.2655,61.76,144.24,328.22,746.4655,37.12,129.88,291.9375,184.99,105.6366,54.6404,156.755,201.196,15.84,82.57,236.24,14.51,59.785,53.43,47.702,124.165,116.17,9.2062,53.8523,30.925,83.97,99.745,64.1,61.21,138.165
2020-02-07 09:42:00+00:00,321.2603,90.912,88.72,212.44,364.72,114.2,179.04,52.86,196.0,53.16,62.49,232.13,238.09,2044.495,279.8,61.25,317.01,132.23,338.9,34.49,249.075,339.6546,47.235,1946.0,551.255,66.77,228.06,42.655,78.5,135.26,163.02,150.665,523.86,211.39,76.23,44.545,214.57,102.57,57.7,310.16,186.705,48.31,78.78,69.945,71.46,108.66,85.36,58.05,167.74,162.87,140.7,97.18,109.49,206.61,43.38,69.16,74.3,74.66,43.72,48.42,8.1053,210.4,147.14,36.8,41.375,186.3,28.53,13.06,70.9943,34.045,1470.0288,1468.74,26.44,238.72,21.945,238.985,175.615,21.695,359.5194,154.43,94.89,298.48,66.6212,291.89,582.5308,184.62,152.18,136.925,28.88,144.98,59.02,28.16,146.745,438.205,121.58,245.895,81.99,326.39,143.28,211.9,58.67,120.515,51.56,116.155,161.55,45.95,54.75,85.65,54.71,183.1663,56.99,270.69,363.95,99.86,363.01,211.42,250.88,54.555,41.735,144.25,38.245,126.98,82.97,87.245,152.46,94.78,89.42,118.4931,88.41,228.75,227.73,85.4,47.48,579.04,34.01,68.89,140.21,296.2525,332.37,199.3349,217.46,38.58,115.11,61.72,144.2699,327.72,747.335,37.255,130.0,292.7,184.75,105.59,54.62,156.51,201.41,15.74,82.64,236.2,14.5087,59.82,53.41,47.66,124.18,116.14,9.1704,53.78,30.91,83.86,99.78,64.105,61.19,138.21
2020-02-07 09:43:00+00:00,320.978,90.69,88.706,212.6099,365.53,114.17,179.055,52.835,195.91,53.165,62.47,231.47,237.82,2044.676,280.16,61.405,316.45,132.2,339.0854,34.48,248.97,338.105,47.205,1943.01,551.8874,66.725,227.81,42.58,78.5,135.4028,163.04,150.625,523.605,211.45,76.19,44.525,214.7776,102.54,57.75,310.16,186.98,48.2701,78.88,69.94,71.52,108.65,85.35,58.0,167.5843,162.86,140.59,97.07,109.89,206.58,43.39,69.16,74.306,74.64,43.71,48.38,8.0903,210.24,147.0089,36.74,41.385,186.32,28.563,13.03,70.5734,34.0461,1470.8503,1470.1899,26.435,238.9326,21.955,238.82,175.66,21.685,359.5194,154.29,94.9717,297.73,66.595,292.43,582.27,184.57,152.1,136.8373,28.9,144.915,58.995,28.1609,146.6,438.62,121.58,245.64,82.16,326.74,143.28,212.1,58.67,120.44,51.52,116.08,161.5851,45.84,54.705,85.585,54.73,183.23,57.1,270.59,364.33,99.8632,363.46,211.62,251.09,54.59,41.765,144.16,38.215,126.84,83.0,86.83,152.43,94.76,89.46,118.6,88.42,228.79,228.05,85.55,47.45,578.07,34.0242,68.76,140.04,296.635,332.345,199.37,217.46,38.555,115.03,61.68,144.27,327.33,752.2881,37.4,130.09,292.73,184.85,105.6084,54.57,156.57,201.58,15.83,82.4898,235.745,14.51,59.76,53.4,47.66,124.195,116.05,9.21,53.8,30.91,83.88,99.8,64.06,61.17,138.084
2020-02-07 09:44:00+00:00,321.14,90.53,88.71,212.93,366.16,114.16,179.45,52.91,195.82,53.17,62.555,231.64,238.19,2045.4602,280.17,61.42,316.76,132.22,339.07,34.505,248.92,337.26,47.22,1943.725,551.7,66.815,228.08,42.6,78.5146,135.21,163.115,150.705,524.2,211.53,76.265,44.52,214.87,102.47,57.78,310.1701,187.315,48.285,78.82,70.0,71.51,108.7,85.37,58.02,167.5,163.06,140.52,97.13,109.9,207.03,43.42,69.2,74.21,74.685,43.7501,48.4,8.08,210.44,146.9905,36.73,41.42,186.19,28.52,12.99,70.33,34.005,1470.6801,1470.255,26.43,239.01,21.99,238.77,175.58,21.69,358.735,154.285,94.96,298.27,66.63,292.8,582.27,184.325,152.105,136.98,28.855,144.93,59.045,28.155,146.83,438.84,121.54,245.5,82.03,327.31,143.41,212.44,58.7,120.52,51.53,116.225,161.458,45.94,54.7625,85.63,54.72,183.7607,57.2479,270.485,365.28,99.83,363.45,211.755,251.61,54.66,41.78,144.18,38.235,126.915,83.07,87.065,152.52,94.8,89.51,118.9603,88.54,229.0299,227.98,85.72,47.46,578.07,34.04,68.86,139.99,296.6,332.56,199.53,217.4,38.55,115.03,61.68,144.21,327.27,753.3,37.5295,130.275,292.545,184.71,105.41,54.575,156.56,201.89,15.74,82.66,235.6092,14.49,59.76,53.37,47.67,124.27,115.96,9.18,53.85,30.92,83.83,99.9637,64.09,61.25,138.27
2020-02-07 09:45:00+00:00,320.78,90.6884,88.75,212.78,366.03,114.01,179.2,52.93,195.97,53.215,62.5,231.655,238.0,2043.0,279.56,61.32,316.4,132.1,339.3643,34.495,248.925,337.5526,47.22,1938.8199,551.76,66.83,228.14,42.55,78.46,135.07,163.15,150.64,524.15,211.25,76.325,44.55,214.7,102.39,57.87,310.09,187.04,48.27,78.98,70.0,71.49,108.77,85.39,58.01,167.26,163.0,140.509,97.11,109.69,206.82,43.395,69.1885,74.2061,74.72,43.71,48.41,8.075,210.27,147.0492,36.7,41.3999,186.17,28.51,13.02,70.235,33.95,1471.0,1471.37,26.435,238.77,22.005,238.62,175.64,21.705,358.735,154.18,94.79,297.8,66.69,292.54,582.14,184.21,152.13,136.98,28.84,144.9,59.0,28.1557,146.91,438.595,121.39,244.96,82.0,326.94,143.48,212.2922,58.7473,120.44,51.55,116.22,161.54,45.9285,54.69,85.58,54.76,183.48,57.17,270.22,364.81,99.765,363.3,211.8,250.9,54.63,41.8,144.12,38.235,126.89,83.05,86.975,152.7,94.78,89.44,118.79,88.28,228.82,228.0,85.77,47.44,578.07,34.04,68.895,140.05,295.85,332.36,199.56,217.37,38.5346,114.83,61.61,144.25,326.94,746.55,37.431,130.42,291.97,184.88,105.37,54.575,156.51,201.59,15.75,82.7565,235.4,14.5104,59.71,53.38,47.67,124.19,115.88,9.18,53.86,30.92,83.84,99.85,64.075,61.31,138.2625
2020-02-07 09:46:00+00:00,321.04,90.76,88.78,212.3095,365.26,113.69,179.22,52.93,196.0186,53.165,62.455,231.63,237.82,2043.37,279.755,61.26,316.24,132.0,339.32,34.5,248.42,337.93,47.23,1936.0,551.8941,66.82,227.92,42.525,78.4,134.93,163.17,150.65,524.015,211.16,76.25,44.49,214.67,102.29,57.77,309.765,186.9887,48.2366,78.96,69.92,71.4,108.695,85.37,57.91,167.1,162.92,140.47,97.09,109.67,206.5,43.345,69.166,74.065,74.7415,43.62,48.41,8.064,210.29,146.6901,36.645,41.34,186.085,28.5195,12.98,69.9001,33.9865,1470.42,1469.995,26.44,238.685,21.98,238.57,175.57,21.705,358.645,154.08,94.6469,298.02,66.685,292.54,581.27,183.926,152.135,137.0,28.875,144.81,59.04,28.165,146.87,438.285,121.46,244.81,81.84,326.71,143.11,212.275,58.78,120.36,51.48,116.185,161.44,45.9165,54.655,85.61,54.7,183.335,57.11,270.38,364.76,99.7,363.19,211.66,250.7892,54.61,41.705,144.11,38.23,126.795,82.98,87.035,152.61,94.67,89.32,118.78,88.3374,228.74,228.06,85.69,47.425,577.96,34.02,68.945,139.92,295.9425,332.2446,199.5,217.06,38.555,114.7975,61.56,144.28,326.78,752.035,37.39,130.34,292.09,184.78,105.35,54.565,156.4,201.64,15.75,82.77,235.92,14.555,59.7442,53.31,47.655,124.1107,115.81,9.155,53.82,30.905,83.785,99.83,64.06,61.24,138.305
2020-02-07 09:47:00+00:00,321.12,90.78,88.655,212.41,365.475,113.59,179.22,52.99,196.01,53.185,62.4,231.205,238.075,2043.7896,279.48,61.29,316.3241,131.995,339.2,34.49,248.44,336.865,47.18,1936.0,551.885,66.71,227.9444,42.49,78.36,134.8,163.4263,150.74,525.19,210.7429,76.222,44.515,214.73,102.02,57.83,309.7757,186.97,48.2,78.92,69.855,71.37,108.76,85.476,57.86,167.17,162.93,140.4,97.1388,109.78,206.8,43.345,69.155,74.05,74.69,43.59,48.43,8.065,210.35,146.5583,36.68,41.32,186.09,28.52,12.9875,69.57,33.945,1470.1097,1469.04,26.435,238.52,21.96,238.49,175.49,21.68,358.16,154.07,94.5875,298.005,66.67,292.32,582.72,183.61,152.13,136.95,28.8779,144.86,59.075,28.14,146.845,438.265,121.45,244.63,81.8481,326.88,142.8,212.19,58.84,120.24,51.49,116.345,161.34,45.895,54.662,85.565,54.68,183.52,57.18,270.71,364.96,99.56,363.2,211.49,250.94,54.585,41.73,144.21,38.19,126.65,82.93,87.03,152.55,94.64,89.43,118.82,88.28,228.74,228.045,85.7,47.4538,578.89,34.03,69.06,139.88,295.74,332.195,199.43,216.97,38.535,114.67,61.4986,144.31,326.835,752.1949,37.3964,130.3116,291.97,184.68,105.3,54.545,156.45,201.67,15.89,82.7653,235.55,14.5505,59.7536,53.24,47.65,124.17,115.85,9.1504,53.84,30.9054,83.75,99.85,64.06,61.27,138.26
2020-02-07 09:48:00+00:00,321.4403,90.86,88.725,212.44,365.27,113.8041,179.12,52.985,195.99,53.17,62.47,231.2,238.08,2043.51,280.16,61.33,316.59,131.93,339.27,34.53,248.63,336.0701,47.145,1935.74,551.95,66.76,228.04,42.46,78.4207,134.7,163.33,150.73,525.19,211.3156,76.16,44.505,214.51,102.18,57.88,309.72,186.875,48.21,78.9,69.895,71.52,108.78,85.4292,57.95,167.26,162.95,140.46,97.11,109.61,206.57,43.37,69.17,74.1,74.74,43.63,48.44,8.065,210.4312,146.71,36.67,41.37,186.03,28.51,12.9855,69.81,33.91,1470.3199,1469.36,26.4352,238.765,22.005,238.7819,175.65,21.685,358.425,154.1617,94.5584,298.19,66.76,292.15,582.83,183.85,152.29,137.06,28.885,144.73,59.05,28.2,146.97,438.13,121.6,244.4,81.825,327.05,143.04,212.18,58.7886,120.27,51.5,116.38,161.2,45.819,54.73,85.59,54.68,183.68,57.36,270.7152,365.215,99.68,363.18,211.59,251.41,54.605,41.76,144.1,38.2083,126.59,82.95,86.88,152.66,94.63,89.46,118.86,88.47,228.88,228.185,85.6727,47.5,578.89,34.06,69.0,139.9,295.79,332.3854,199.0315,216.91,38.56,114.625,61.48,144.2936,326.895,754.3,37.34,130.37,292.15,184.76,105.3101,54.575,156.49,201.8386,15.86,82.97,235.26,14.505,59.7572,53.3135,47.66,124.17,115.92,9.18,53.89,30.915,83.79,99.93,64.02,61.3246,138.27
